1	U	1	-1
1	D	5	-1
1	R	2	-1
1	L	0	-1
2	U	2	-1
2	D	6	-1
2	R	3	-1
2	L	1	-1
3	U	3	-1
3	D	7	-1
3	R	3	-1
3	L	2	-1
4	U	0	-1
4	D	8	-1
4	R	5	-1
4	L	4	-1
5	U	1	-1
5	D	9	-1
5	R	6	-1
5	L	4	-1
6	U	2	-1
6	D	10	-1
6	R	7	-1
6	L	5	-1
7	U	3	-1
7	D	11	-1
7	R	7	-1
7	L	6	-1
8	U	4	-1
8	D	12	-1
8	R	9	-1
8	L	8	-1
9	U	5	-1
9	D	13	-1
9	R	10	-1
9	L	8	-1
10	U	6	-1
10	D	14	-1
10	R	11	-1
10	L	9	-1
11	U	7	-1
11	D	0	-1
11	R	11	-1
11	L	10	-1
12	U	8	-1
12	D	12	-1
12	R	13	-1
12	L	12	-1
13	U	9	-1
13	D	13	-1
13	R	14	-1
13	L	12	-1
14	U	10	-1
14	D	14	-1
14	R	0	-1
14	L	13	-1
